word,definition,example
reinforce,Make stronger.,he reinforced the concrete
reinforcement,A military operation (often involving new supplies of men and materiel) to strengthen a military force or aid in the performance of its mission.,they called for artillery support
reject,The person or thing that is rejected or set aside as inferior in quality.,
rejection,The act of rejecting something.,his proposals were met with rejection
rejoin,Join again.,
relate,Make a logical or causal connection.,I cannot connect these two pieces of evidence in my mind
related,Make a logical or causal connection.,I cannot connect these two pieces of evidence in my mind
relation,An abstraction belonging to or characteristic of two entities or parts together.,
relationship,"A relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness).",the relationship between mothers and their children
relative,A person related by blood or marriage.,police are searching for relatives of the deceased
relatively,In a relative manner; by comparison to something else.,the situation is relatively calm now
relativity,(physics) the theory that space and time are relative concepts rather than absolute concepts.,
relax,"Become less tense, rest, or take one's ease.",He relaxed in the hot tub
relaxation,(physiology) the gradual lengthening of inactive muscle or muscle fibers.,
relaxed,"Become less tense, rest, or take one's ease.",He relaxed in the hot tub
relaxing,"Become less tense, rest, or take one's ease.",He relaxed in the hot tub
relay,The act of passing something along from one person or group to another.,the relay was successful
release,Merchandise issued for sale or public showing (especially a record or film).,a new release from the London Symphony Orchestra
relevant,Having a bearing on or connection with the subject at issue.,the scientist corresponds with colleagues in order to learn about matters relevant to her own research
reliable,Worthy of reliance or trust.,a reliable source of information
relic,An antiquity that has survived from the distant past.,
relief,The feeling that comes when something burdensome is removed or reduced.,as he heard the news he was suddenly flooded with relief
relieve,"Provide physical relief, as from pain.",This pill will relieve your headaches
relieved,"Provide physical relief, as from pain.",This pill will relieve your headaches
religion,A strong belief in a supernatural power or powers that control human destiny.,he lost his faith but not his morality
religious,A member of a religious order who is bound by vows of poverty and chastity and obedience.,
reluctant,Unwillingness to do something contrary to your custom.,a reluctant smile
rely,Have confidence or faith in.,We can trust in God
remain,Stay the same; remain in a certain state.,The dress remained wet after repeated attempts to dry it
remainder,Something left after other parts have been taken away.,there was no remainder
remaining,Stay the same; remain in a certain state.,The dress remained wet after repeated attempts to dry it
remains,Any object that is left unused or still extant.,I threw out the remains of my dinner
remark,A statement that expresses a personal opinion or belief or adds information.,from time to time she contributed a personal comment on his account
remarkable,Unusual or striking.,a remarkable sight
remarkably,To a remarkable degree or extent.,she was unusually tall
remedy,Act of correcting an error or a fault or an evil.,
remember,Recall knowledge from memory; have a recollection.,I can't remember saying any such thing
remembrance,The ability to recall past occurrences.,
remind,Put in the mind of someone.,Remind me to call Mother
reminder,A message that helps you remember something.,he ignored his wife's reminders
remote,A device that can be used to control a machine or apparatus from a distance.,he lost the remote for his TV
remote control,,
remove,Degree of figurative distance or separation;  or.,just one remove from madness
renew,"Reestablish on a new, usually improved, basis or make new or like new.",We renewed our friendship after a hiatus of twenty years
rent,"A payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service.",
rental,Property that is leased or rented out or let.,
reorganize/reorganise,Organize anew.,We must reorganize the company if we don't want to go under
repaint,Paint again.,He repainted the same scenery many times during his life
repair,The act of putting something in working order again.,
repay,Pay back.,Please refund me my money
repeat,An event that repeats.,the events today were a repeat of yesterday's
repeatedly,Several time.,it must be washed repeatedly
repertoire,The entire range of skills or aptitudes or devices used in a particular field or occupation.,the repertory of the supposed feats of mesmerism
repetition,An event that repeats.,the events today were a repeat of yesterday's
replace,Substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected).,He replaced the old razor blade
replacement,The act of furnishing an equivalent person or thing in the place of another.,replacing the star will not be easy
replica,Copy that is not the original; something that has been copied.,
reply,A statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.,I waited several days for his answer
report,A written document describing the findings of some individual or group.,this accords with the recent study by Hill and Dale
reporter,A person who investigates and reports or edits news stories.,
represent,Take the place of or be parallel or equivalent to.,"Because of the sound changes in the course of history, an 'h' in Greek stands for an 's' in Latin"
representative,A person who represents others.,
repress,Put down by force or intimidation.,The government quashes any attempt of an uprising
repression,A state of forcible subjugation.,the long repression of Christian sects
reprint,A publication (such as a book) that is reprinted without changes or editing and offered again for sale.,
reproduce,Make a copy or equivalent of.,reproduce the painting
reprove,Take to task.,He admonished the child for his bad behavior
republic,A political system in which the supreme power lies in a body of citizens who can elect people to represent them.,
reputation,The state of being held in high esteem and honor.,
request,A formal message requesting something that is submitted to an authority.,
require,"Require as useful, just, or proper.",It takes nerve to do what she did
requirement,Required activity.,the requirements of his work affected his health
rescue,Recovery or preservation from loss or danger.,work is the deliverance of mankind
research,Systematic investigation to establish facts.,
researcher,A scientist who devotes himself to doing research.,
resemble,Appear like; be similar or bear a likeness to.,She resembles her mother very much
reservation,A district that is reserved for particular purpose.,
reserve,Formality and propriety of manner.,
residence,Any address at which you dwell more than temporarily.,a person can have several residences
resident,Someone who lives at a particular place for a prolonged period or who was born there.,
residential,Used or designed for residence or limited to residences.,a residential hotel
resign,"Leave (a job, post, or position) voluntarily.",She vacated the position when she got pregnant
resignation,Acceptance of despair.,
resist,"Elude, especially in a baffling way.",This behavior defies explanation
resistance,The action of opposing something that you disapprove or disagree with.,he encountered a general feeling of resistance from many citizens
resolution,A formal expression by a meeting; agreed to by a vote.,
resolve,The trait of being resolute.,his resoluteness carried him through the battle
resonant,Characterized by resonance.,a resonant voice
resort,A hotel located in a resort area.,
resource,Available source of wealth; a new or reserve supply that can be drawn upon when needed.,
respect,(usually preceded by `in') a detail or point.,it differs in that respect
respectable,Characterized by socially or conventionally acceptable morals.,a respectable woman
respectably,To a tolerably worthy extent.,he did respectably well for his age
respected,Regard highly; think much of.,I respect his judgement
respiration,The metabolic processes whereby certain organisms obtain energy from organic molecules; processes that take place in the cells and tissues during which energy is released and carbon dioxide is produced and absorbed by the blood to be transported to the lungs.,
respiratory,Pertaining to respiration.,respiratory assistance
respond,Show a response or a reaction to something.,
response,A result.,this situation developed in response to events in Africa
responsibility,The social force that binds you to the courses of action demanded by that force; ; - john d.rockefeller jr.,we must instill a sense of duty in our children
responsible,Worthy of or requiring responsibility or trust; or held accountable.,a responsible adult
rest,Something left after other parts have been taken away.,there was no remainder
restaurant,A building where people go to eat.,
restore,Return to its original or usable and functioning condition.,restore the forest to its original pristine condition
restrict,Place restrictions on.,curtail drinking in school
restriction,A principle that limits the extent of something.,I am willing to accept certain restrictions on my movements
result,A phenomenon that follows and is caused by some previous phenomenon.,the magnetic effect was greater when the rod was lengthwise
resume,Short descriptive summary (of events).,
retail,The selling of goods to consumers; usually in small quantities and not for resale.,
retailer,A merchant who sells goods at retail.,
retain,Hold back within.,This soil retains water
retard,A person of subnormal intelligence.,
retell,"Render verbally,.",recite a poem
retina,The innermost light-sensitive membrane covering the back wall of the eyeball; it is continuous with the optic nerve.,
retire,Go into retirement; stop performing one's work or withdraw from one's position.,He retired at age 68
retired,Go into retirement; stop performing one's work or withdraw from one's position.,He retired at age 68
retirement,The state of being retired from one's business or occupation.,
retreat,(military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat.,the disorderly retreat of French troops
retrieve,Get or find back; recover the use of.,She regained control of herself
retrospect,Contemplation of things past.,in retrospect
return,Document giving the tax collector information about the taxpayer's tax liability.,his gross income was enough that he had to file a tax return
reunification,The act of coming together again.,monetary unification precipitated the reunification of the German state in October 1990
reunify,"Unify again, as of a country.",Will Korea reunify?
reunion,A party of former associates who have come together again.,
reveal,Make visible.,Summer brings out bright clothes
revelation,The speech act of making something evident.,
revenge,Action taken in return for an injury or offense.,
revenue,The entire amount of income before any deductions are made.,
reverence,A feeling of profound respect for someone or something.,the fear of God
reverse,A relation of direct opposition.,we thought Sue was older than Bill but just the reverse was true
review,A new appraisal or evaluation.,
revise,The act of rewriting something.,
revision,The act of revising or altering (involving reconsideration and modification).,it would require a drastic revision of his opinion
revival,Bringing again into activity and prominence.,the revival of trade
revive,Cause to regain consciousness.,The doctors revived the comatose man
revolution,A drastic and far-reaching change in ways of thinking and behaving.,the industrial revolution was also a cultural revolution
revolutionary,A radical supporter of political or social revolution.,
revolutionize/revolutionise,Change radically.,E-mail revolutionized communication in academe
revolve,Turn on or around an axis or a center.,The Earth revolves around the Sun
reward,A recompense for worthy acts or retribution for wrongdoing.,the wages of sin is death
rewrite,Something that has been written again.,the rewrite was much better
rhinoceros,Massive powerful herbivorous odd-toed ungulate of southeast asia and africa having very thick skin and one or two horns on the snout.,
rhyme,Correspondence in the sounds of two or more lines (especially final sounds).,
rhythm,The basic rhythmic unit in a piece of music.,the piece has a fast rhythm
rhythmic,Recurring with measured regularity; - john galsworthy.,the rhythmic chiming of church bells
rib,Support resembling the rib of an animal.,
ribbon,Any long object resembling a thin line.,a mere ribbon of land
rice,Grains used as food either unpolished or more often polished.,
rich,People who have possessions and wealth (considered as a group).,only the very rich benefit from this legislation
rid,Relieve from.,Rid the house of pests
riddle,A difficult problem.,
ride,A journey in a vehicle (usually an automobile).,he took the family for a drive in his new car
rider,A traveler who actively rides an animal (as a horse or camel).,
ridge,A long narrow natural elevation or striation.,
ridiculous,Inspiring scornful pity; - dashiell hammett.,how silly an ardent and unsuccessful wooer can be especially if he is getting on in years
right,An abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - eleanor roosevelt.,they are endowed by their Creator with certain unalienable Rights
righteousness,Adhering to moral principles.,
right-hand,Located on or directed toward the right.,a right-hand turn
rightly,With honesty.,he was rightly considered the greatest singer of his time
rim,The shape of a raised edge of a more or less circular object.,
ring,A characteristic sound.,it has the ring of sincerity
rip,A dissolute man in fashionable society.,
ripe,Fully developed or matured and ready to be eaten or used.,ripe peaches
rise,A growth in strength or number or importance.,
risk,A source of danger; a possibility of incurring loss or misfortune.,drinking alcohol is a health hazard
risky,Involving risk or danger.,skydiving is a hazardous sport
rite,An established ceremony prescribed by a religion.,the rite of baptism
ritual,Any customary observance or practice.,
rival,The contestant you hope to defeat.,he had respect for his rivals
river,A large natural stream of water (larger than a creek).,the river was navigable for 50 miles
road,An open way (generally public) for travel or transportation.,
roadside,Edge of a way or road or path.,flowers along the wayside
roam,"Move about aimlessly or without any destination, often in search of food or employment.",The gypsies roamed the woods
roar,A deep prolonged loud noise.,
roast,A piece of meat roasted or for roasting and of a size for slicing into more than one portion.,
rob,Take something away by force or without the consent of the owner.,The burglars robbed him of all his money
robbery,Larceny by threat of violence.,
robin,Small old world songbird with a reddish breast.,
robot,A mechanism that can move automatically.,
rock,A lump or mass of hard consolidated mineral matter.,he threw a rock at me
rocket,Any vehicle self-propelled by a rocket engine.,
rocky,Abounding in rocks or stones.,rocky fields
role,The actions and activities assigned to or required or expected of a person or group.,the function of a teacher
roll,Rotary motion of an object around its own axis.,wheels in axial rotation
rolling,A deep prolonged sound (as of thunder or large bells).,
romance,A relationship between two lovers.,
romantic,A soulful or amorous idealist.,
roof,A protective covering that covers or forms the top of a building.,
room,An area within a building enclosed by walls and floor and ceiling.,the rooms were very small but they had a nice view
roommate,An associate who shares a room with you.,
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground.,
rope,A strong line.,
rose,Any of many shrubs of the genus rosa that bear roses.,
rosy,Reflecting optimism.,a rosy future
rotten,Very bad.,a lousy play
rough,The part of a golf course bordering the fairway where the grass is not cut short.,
roughly,(of quantities) imprecise but fairly close to correct.,lasted approximately an hour
round,A charge of ammunition for a single shot.,
roundabout,A road junction at which traffic streams circularly around a central island.,the accident blocked all traffic at the rotary
route,An established line of travel or access.,
routine,An unvarying or habitual method or procedure.,
row,An arrangement of objects or people side by side in a line.,a row of chairs
royal,A sail set next above the topgallant on a royal mast.,
royalty,Payment to the holder of a patent or copyright or resource for the right to use their property.,he received royalties on his book
rub,An unforeseen obstacle.,
rubber,An elastic material obtained from the latex sap of trees (especially trees of the genera hevea and ficus) that can be vulcanized and finished into a variety of products.,
rubbish,Worthless material that is to be disposed of.,
rubble,The remains of something that has been destroyed or broken up.,
rude,Socially incorrect in behavior.,resentment flared at such an unmannered intrusion
rudely,In an impolite manner.,he treated her impolitely
rug,Floor covering consisting of a piece of thick heavy fabric (usually with nap or pile).,
rugby,A form of football played with an oval ball.,
ruin,An irrecoverable state of devastation and destruction.,you have brought ruin on this entire family
ruinous,Extremely harmful; bringing physical or financial ruin.,a catastrophic depression
rule,A principle or condition that customarily governs behavior.,it was his rule to take a walk before breakfast
ruler,A person who rules or commands.,swayer of the universe
rumor/rumour,Gossip (usually a mixture of truth and untruth) passed around by word of mouth.,
run,A score in baseball made by a runner touching all four bases safely.,the Yankees scored 3 runs in the bottom of the 9th
runaway,An easy victory.,
runner,Someone who imports or exports without paying duties.,
running,(american football) a play in which a player attempts to carry the ball through or past the opposing team.,the defensive line braced to stop the run
runway,A bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll.,
rural,Living in or characteristic of farming or country life.,rural people
rush,The act of moving hurriedly and in a careless manner.,in his haste to leave he forgot his book
rush hour,,
rusty,Covered with or consisting of rust.,a rusty machine
's,,
sack,A bag made of paper or plastic for holding customer's purchases.,
sacred,Concerned with religion or religious purposes.,sacred texts
sad,Experiencing or showing sorrow or unhappiness; ; - christina rossetti.,feeling sad because his dog had died
sadly,In an unfortunate way.,sadly he died before he could see his grandchild
sadness,Emotions experienced when not in a state of well-being.,
safari,An overland journey by hunters (especially in africa).,
safe,Strongbox where valuables can be safely kept.,
safeguard,A precautionary measure warding off impending danger or damage or injury etc.,he put an ice pack on the injury as a precaution
safely,With safety; in a safe manner.,we are safely out of there
safety,The state of being certain that adverse effects will not be caused by some agent under defined conditions.,insure the safety of the children
sag,A shape that sags.,there was a sag in the chair seat
sage,A mentor in spiritual and philosophical topics who is renowned for profound wisdom.,
sail,A large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel.,
sailing,The work of a sailor.,
sailor,Any member of a ship's crew.,
sake,A reason for wanting something done.,for your sake
salad,Food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens.,
salary,Something that remunerates.,wages were paid by check
sale,A particular instance of selling.,he has just made his first sale
salesman,A man salesperson.,
salesmanship,Skill in selling; skill in persuading people to buy.,he read a book on salesmanship but it didn't help
salesperson,A person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited).,
saleswoman,A woman salesperson.,
salmon,Any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn.,
salon,Gallery where works of art can be displayed.,
salsa,Spicy sauce of tomatoes and onions and chili peppers to accompany mexican foods.,
salt,A compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal).,
salty,Engagingly stimulating or provocative.,a piquant wit
same,A member of an indigenous nomadic people living in northern scandinavia and herding reindeer.,
sample,A small part of something intended as representative of the whole.,
sand,A loose material consisting of grains of rock or coral.,
sandal,A shoe consisting of a sole fastened by straps to the foot.,
sandstone,A sedimentary rock consisting of sand consolidated with some cement (clay or quartz etc.).,
sandwich,Two (or more) slices of bread with a filling between them.,
sandy,Of hair color; pale yellowish to yellowish brown.,flaxen locks
sanitary,Free from filth and pathogens.,sanitary conditions for preparing food
sanitation,The state of being clean and conducive to health.,
satellite,Man-made equipment that orbits around the earth or the moon.,
satisfaction,"The contentment one feels when one has fulfilled a desire, need, or expectation.",the chef tasted the sauce with great satisfaction
satisfactory,Giving satisfaction.,satisfactory living conditions
satisfied,Meet the requirements or expectations of.,
satisfy,Meet the requirements or expectations of.,
Saturday,The seventh and last day of the week; observed as the sabbath by jews and some christians.,
sauce,Flavorful relish or dressing or topping served as an accompaniment to food.,
saucepan,A deep pan with a handle; used for stewing or boiling.,
saucer,Something with a round shape resembling a flat circular plate.,the moon's disk hung in a cloudless sky
sausage,Highly seasoned minced meat stuffed in casings.,
save,(sports) the act of preventing the opposition from scoring.,the goalie made a brilliant save
saving/savings,An act of economizing; reduction in cost.,it was a small economy to walk to work every day
saw,A condensed but memorable saying embodying some important fact of experience that is taken as true by many people.,
say,The chance to speak.,let him have his say
scale,An ordered reference standard.,judging on a scale of 1 to 10
scan,The act of scanning; systematic examination of a prescribed region.,he made a thorough scan of the beach with his binoculars
scandal,Disgraceful gossip about the private lives of other people.,
scar,A mark left (usually on the skin) by the healing of injured tissue.,
scarcely,Only a very short time before; ; ; ; ; - w.b.yeats.,they could barely hear the speaker
scare,Sudden mass fear and anxiety over anticipated events.,panic in the stock market
scared,Cause fear in.,The stranger who hangs around the building frightens me
scarf,A garment worn around the head or neck or shoulders for warmth or decoration.,
scarlet,A variable color that is vivid red but sometimes with an orange tinge.,
scary,Provoking fear terror.,a scary movie
scatter,A haphazard distribution in all directions.,
scene,The place where some action occurs.,the police returned to the scene of the crime
scenery,The painted structures of a stage set that are intended to suggest a particular locale.,they worked all night painting the scenery
scenic,Used of locations; having beautiful natural scenery.,scenic drives
scent,A distinctive odor that is pleasant.,
schedule,A temporally organized plan for matters to be attended to.,
scheduled,Plan for an activity or event.,I've scheduled a concert next week
scheme,An elaborate and systematic plan of action.,
scholar,A learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines.,
scholarship,Financial aid provided to a student on the basis of academic merit.,
scholasticism,The system of philosophy dominant in medieval europe; based on aristotle and the church fathers.,
school,An educational institution.,the school was founded in 1900
schoolchild,A young person attending school (up through senior high school).,
schoolgirl,A girl attending school.,
schoolmate,An acquaintance that you go to school with.,
schoolteacher,A teacher in a school below the college level.,
schoolwork,A school task performed by a student to satisfy the teacher.,
science,A particular branch of scientific knowledge.,the science of genetics
science fiction,,
scientific,Of or relating to the practice of science.,scientific journals
scientifically,With respect to science; in a scientific way.,this is scientifically interesting
scientist,A person with advanced knowledge of one or more sciences.,
scissors,An edge tool having two crossed pivoting blades.,
scold,Someone (especially a woman) who annoys people by constantly finding fault.,
scooter,A motorboat resembling a motor scooter.,
scope,An area in which something acts or operates or has power or control:.,the range of a supersonic jet
score,A number or letter indicating quality (especially of a student's performance).,she made good marks in algebra
scramble,An unceremonious and disorganized struggle.,
scratch,An abraded area where the skin is torn or worn off.,
scream,Sharp piercing cry.,her screaming attracted the neighbors
screen,A white or silvered surface where pictures can be projected for viewing.,
screw,Someone who guards prisoners.,
scribble,Poor handwriting.,
script,A written version of a play or other dramatic composition; used in preparing for a performance.,
scrooge,A selfish person who is unwilling to give or spend.,
scuba,A device (trade name aqua-lung) that lets divers breathe under water; scuba is an acronym for self-contained underwater breathing apparatus.,
sculpture,A three-dimensional work of plastic art.,
scythe,An edge tool for cutting grass; has a long handle that must be held with both hands and a curved blade that moves parallel to the ground.,
sea,A division of an ocean or a large body of salt water partially enclosed by land.,
seafood,Edible fish (broadly including freshwater fish) or shellfish or roe etc.,
seal,Fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters.,
search,The activity of looking thoroughly in order to find something or someone.,
seaside,The shore of a sea or ocean regarded as a resort.,
season,A period of the year marked by special events or activities in some field.,he celebrated his 10th season with the ballet company
seasonal,A worker who finds employment only in certain seasons.,
seat,A space reserved for sitting (as in a theater or on a train or airplane).,he booked their seats in advance
seawater,Water containing salts.,the water in the ocean is all saltwater
seaweed,"Plant growing in the sea, especially marine algae.",
second,1/60 of a minute; the basic unit of time adopted under the systeme international d'unites.,
second person,,
secondary,The defensive football players who line up behind the linemen.,
secondary school,,
second-hand,,
secondly,In the second place.,"second, we must consider the economy"
secret,Something that should remain hidden from others (especially information that is not to be passed on).,the combination to the safe was a secret
secretary,A person who is head of an administrative department of government.,
secretly,In secrecy; not openly.,met secretly to discuss the invasion plans
section,A self-contained part of a larger composition (written or musical).,he always turns first to the business section
sector,A plane figure bounded by two radii and the included arc of a circle.,
secure,Get by special effort.,He procured extra cigarettes even though they were rationed
security,The state of being free from danger or injury.,we support the armed services in the name of national security
see,The seat within a bishop's diocese where his cathedral is located.,
seed,A small hard fruit.,
seek,The movement of a read/write head to a specific data track on a disk.,
seem,Give a certain impression or have a certain outward aspect.,She seems to be sleeping
seesaw,A plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end.,
segment,One of several parts or pieces that fit with others to constitute a whole object.,a section of a fishing rod
seize,Take hold of; grab.,The sales clerk quickly seized the money on the counter
seldom,Not often.,we rarely met
select,"Pick out, select, or choose from a number of alternatives.",Take any one of these cards
selection,The act of choosing or selecting.,your choice of colors was unfortunate
self,Your consciousness of your own identity.,
self-confidence,Freedom from doubt; belief in yourself and your abilities.,his assurance in his superiority did not make him popular
self-confident,Showing poise and confidence in your own worth.,hardly more than a boy but firm-knit and self-confident
selfish,Concerned chiefly or only with yourself and your advantage to the exclusion of others; - maria weston chapman.,Selfish men were...trying to make capital for themselves out of the sacred cause of civil rights
selfless,Showing unselfish concern for the welfare of others.,
self-service,The practice of serving yourself (as in a grocery or cafeteria).,
sell,The activity of persuading someone to buy.,it was a hard sell
seller,Someone who promotes or exchanges goods or services for money.,
semester,One of two divisions of an academic year.,
semicolon,A punctuation mark (`;') used to connect independent clauses; indicates a closer relation than does a period.,
semi-final,,
seminar,Any meeting for an exchange of ideas.,
senator,A member of a senate.,
send,Cause to go somewhere.,The explosion sent the car flying in the air
senior,An undergraduate student during the year preceding graduation.,
sensation,An unelaborated elementary awareness of stimulation.,a sensation of touch
sense,A general conscious awareness.,a sense of security
sensible,Showing reason or sound judgment.,a sensible choice
sensitive,Someone who serves as an intermediary between the living and the dead.,he consulted several mediums
sentence,A string of words satisfying the grammatical rules of a language.,he always spoke in grammatical sentences
separate,A separately printed article that originally appeared in a larger publication.,
separately,Apart from others.,"taken individually, the rooms were, in fact, square"
separation,The state of lacking unity.,
September,The month following august and preceding october.,
sequence,Serial arrangement in which things follow in logical order or a recurrent pattern.,the sequence of names was alphabetical
serene,Not agitated; without losing self-possession.,spoke in a calm voice
serial,A serialized set of programs.,a comedy series
series,Similar things placed in order or happening one after another.,they were investigating a series of bank robberies
serious,Concerned with work or important matters rather than play or trivialities.,a serious student of history
seriously,In a serious manner.,talking earnestly with his son
servant,A person working in the service of another (especially in the household).,
serve,(sports) a stroke that puts the ball in play.,his powerful serves won the game
server,A person whose occupation is to serve at table (as in a restaurant).,
service,Work done by one person or group that benefits another.,budget separately for goods and services
session,A meeting for execution of a group's functions.,it was the opening session of the legislature
set,A group of things of the same kind that belong together and are so used.,a set of books
setback,An unfortunate happening that hinders or impedes; something that is thwarting or frustrating.,
setting,The context and environment in which something is set.,the perfect setting for a ghost story
settle,A long wooden bench with a back.,
settlement,A body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government.,the American colony in Paris
settler,A person who settles in a new colony or moves into new country.,
seven,The cardinal number that is the sum of six and one.,
seventeen,The cardinal number that is the sum of sixteen and one.,
seventy,The cardinal number that is the product of ten and seven.,
several,(used with count nouns) of an indefinite number more than 2 or 3 but not many.,several letters came in the mail
severe,Intensely or extremely bad or unpleasant in degree or quality.,severe pain
severely,To a severe or serious degree.,fingers so badly frozen they had to be amputated
sew,Fasten by sewing; do needlework.,
sex,Activities associated with sexual intercourse.,they had sex in the back seat
sexism,Discriminatory or abusive behavior towards members of the opposite sex.,
sexual,Of or relating to or characterized by sexuality.,sexual orientation
sexy,Marked by or tending to arouse sexual desire or interest.,feeling sexy
shabby,Showing signs of wear and tear.,a ratty old overcoat
shade,Relative darkness caused by light rays being intercepted by an opaque body.,it is much cooler in the shade
shadow,Shade within clear boundaries.,
shadowy,Filled with shade.,the shady side of the street
shake,Building material used as siding or roofing.,
shaken,Move or cause to move back and forth.,The chemist shook the flask vigorously
Shakespearean,A shakespearean scholar.,
shaky,Inclined to shake as from weakness or defect.,a rickety table
shall,,
shallow,A stretch of shallow water.,
shame,A painful emotion resulting from an awareness of inadequacy or guilt.,
shameful,(used of conduct or character) deserving or bringing disgrace or shame; - rachel carson.,Man...has written one of his blackest records as a destroyer on the oceanic islands
shampoo,Cleansing agent consisting of soaps or detergents used for washing the hair.,
shape,Any spatial attributes (especially as defined by outline).,he could barely make out their shapes
share,Assets belonging to or due to or contributed by an individual person or group.,he wanted his share in cash
sharp,A musical notation indicating one half step higher than the note named.,
sharply,In an aggressive manner.,she was being sharply questioned
shatter,Break into many pieces.,The wine glass shattered
shave,The act of removing hair with a razor.,
she,,
shed,An outbuilding with a single story; used for shelter or storage.,
sheep,Woolly usually horned ruminant mammal related to the goat.,
sheer,Turn sharply; change direction abruptly.,The car cut to the left at the intersection
sheet,Any broad thin expanse or surface.,a sheet of ice
shelf,A support that consists of a horizontal surface for holding objects.,
shell,Ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun.,
shelter,A structure that provides privacy and protection from danger.,
sheriff,The principal law-enforcement officer in a county.,
shield,A protective covering or structure.,
shift,An event in which something is displaced without rotation.,
shine,The quality of being bright and sending out rays of light.,
shiny,Reflecting light.,glistening bodies of swimmers
ship,A vessel that carries passengers or freight.,
shipping,The commercial enterprise of moving goods and materials.,
shipwreck,A wrecked ship (or a part of one).,
shirt,A garment worn on the upper half of the body.,
shiver,A reflex motion caused by cold or fear or excitement.,
shock,The feeling of distress and disbelief that you have when something bad happens accidentally.,his mother's death left him in a daze
shocked,Surprise greatly; knock someone's socks off.,I was floored when I heard that I was promoted
shocking,Surprise greatly; knock someone's socks off.,I was floored when I heard that I was promoted
shoe,Footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material.,
shoot,A new branch.,
shooting,The act of firing a projectile.,his shooting was slow but accurate
shop,A mercantile establishment for the retail sale of goods or services.,he bought it at a shop on Cape Cod
shop assistant,,
shopkeeper,A merchant who owns or manages a shop.,
shoplift,Steal in a store.,
shoplifter,A thief who steals goods that are in a store.,
shoplifting,The act of stealing goods that are on display in a store.,shrinkage is the retail trade's euphemism for shoplifting
shopper,Someone who visits stores in search of articles to buy.,
shopping,Searching for or buying goods or services.,went shopping for a reliable plumber
shore,The land along the edge of a body of water.,
short,The location on a baseball field where the shortstop is stationed.,
short/shorts,The location on a baseball field where the shortstop is stationed.,
shortage,The property of being an amount by which something is less than expected or required.,new blood vessels bud out from the already dilated vascular bed to make up the nutritional deficit
shortly,For a short time.,he was at the airport shortly before she was expected to arrive
shortness,The property of being of short spatial extent.,the shortness of the Channel crossing
short-term,Relating to or extending over a limited period.,short-run planning
shot,The act of firing a projectile.,his shooting was slow but accurate
should,,
shoulder,The part of the body between the neck and the upper arm.,
shout,A loud utterance; often in protest or opposition.,the speaker was interrupted by loud cries from the rear of the audience
show,The act of publicly exhibiting or entertaining.,a remarkable show of skill
showbiz,,
showcase,A setting in which something can be displayed to best effect.,it was a showcase for democracy in Africa
shower,A plumbing fixture that sprays water over you.,they installed a shower in the bathroom
shrimp,Disparaging terms for small people.,
shrink,A physician who specializes in psychiatry.,
shrug,A gesture involving the shoulders.,
shut,Move so that an opening or passage is obstructed; make shut.,Close the door
shy,A quick throw.,he gave the ball a shy to the first baseman
sick,People who are sick.,they devote their lives to caring for the sick
sickness,Impairment of normal physiological function affecting part or all of an organism.,
side,A place within a region identified relative to a center or reference location.,they always sat on the right side of the church
sidewalk,Walk consisting of a paved area for pedestrians; usually beside a street or roadway.,
sigh,An utterance made by exhaling audibly.,
sight,An instance of visual perception.,the sight of his wife brought him back to reality
sightseeing,Going about to look at places of interest.,
sign,A perceptible indication of something not immediately apparent (as a visible clue that something has happened).,he showed signs of strain
signal,Any nonverbal action or gesture that encodes a message.,signals from the boat suddenly stopped
signature,Your name written in your own handwriting.,
significance,The quality of being significant.,do not underestimate the significance of nuclear power
significant,Important in effect or meaning.,a significant change in tax laws
significantly,In a statistically significant way.,the two groups differed significantly
signify,Denote or connote.,`maison' means `house' in French
signpost,A post bearing a sign that gives directions or shows the way.,
silence,The state of being silent (as when no one is speaking).,there was a shocked silence
silent,Marked by absence of sound.,a silent house
silently,Without speaking.,he sat mutely next to her
silk,A fabric made from the fine threads produced by certain insect larvae.,
