word,definition,example
inseparable,Being unable or not intended to be separated; extremely closely connected.,"Despite their age difference, the siblings were inseparable and spent every moment they could together."
inside,"Inside refers to the enclosed space or area that is within the boundaries of something else, such as a building or container.",The cat was sleeping inside the box.
insight,"Insight refers to the ability to understand a situation clearly and deeply; it's a sudden, intuitive realization or comprehension of the real nature of something. It often involves seeing hidden truths, patterns, or relationships.","After days of struggling with the project, John finally had an insight that the problem lay in the interaction between two specific modules, and once he fixed it, the entire system worked smoothly."
insist,"To insist means to demand or request firmly, especially when one is persistent. It often implies a strong desire or necessity for something to happen.","""Despite his initial refusal, John insisted on helping with the project because he believed in its importance."""
inspect,"To examine something carefully, typically to check its quality or condition.",The mechanic inspected the car before giving it a clean bill of health.
inspection,"A careful examination of someone or something to learn about its condition, quality, or compliance with rules.",The mechanic inspected the car before the long road trip to ensure it was safe for travel.
inspector,"An inspector is a person who examines something carefully, especially to check that it conforms to a particular standard or regulation.",The building inspector checked the structure of the newly constructed house to ensure it complied with the local building codes.
inspiration,"Inspiration is the process of being mentally stimulated to do or feel something, especially to do something creative. It often comes from an external source and leads to a feeling of excitement and readiness to create.","""The breathtaking view of the mountains provided her with inspiration to write a series of poems about nature."""
inspirational,"Something or someone that serves as a source of motivation, ideas, or hope; something that inspires.",Her speech about overcoming adversity was truly inspirational and left everyone feeling motivated to make positive changes in their lives.
inspire,"To motivate or move (someone) emotionally to do something, especially to a high standard. It often involves a sense of admiration or respect for the person or thing that is inspiring someone.",The great musician's performance inspired many young people to learn an instrument and practice music diligently.
install/instal,"Install or Instal is a verb that means to put something in position so that it may properly begin working or be used, typically by fixing it in a certain place or arranging for it to be ready for operation. It usually implies setting up or assembling hardware, software, or machinery, but can also refer to the process of putting people in positions of responsibility or office.","""The technician will install the new operating system on your computer tomorrow."""
instance,"An instance refers to a specific occurrence or example of something, often used in contrast to general ideas or categories.","In the computer science class, each student was asked to provide an instance where they encountered a bug during programming."
instant,"Instant refers to a very short, brief moment of time that happens immediately.","When I dropped the vase, it shattered into pieces in an instant."
instantly,"Immediately, without delay or a perceptible lapse of time.","When I touched the hot stove, I pulled my hand away instantly."
instead,Instead is a conjunction or adverb that means 'in place of' or 'on the contrary'. It indicates the substitution of one thing for another.,"I couldn't go to the concert, so I watched a movie instead."
instead of,"Instead of is a preposition used to indicate that something is used or done in place of, or as an alternative to, another thing.","I couldn't go to the concert, so I watched the movie instead of it."
instill/instil,"To implant (a belief, idea, or quality) gradually and firmly in someone's mind, often by repeated suggestions.",The teacher tried to instill a love of learning in her students by sharing exciting stories about the wonders of science.
instinct,"Instinct is an innate, unlearned behavior or pattern of behavior that is driven by an organism's physiology or genetics. It's a reaction to a stimulus that requires no conscious thought or decision-making.","A puppy instinctively runs towards its mother's voice, even if it has never seen her before."
institute,"An institute is an established organization or society that conducts research, provides education, or offers professional services in a specific field.",She attended the Institute of Technology for her degree in computer science.
institution,"An institution is a recognized, established organization or system that provides essential services and follows set rules, often with a long history and significant influence in society.",The university is an important institution of higher learning where students go to study and gain knowledge.
instruct,"To give directions, teach, or command someone to do something.",The teacher instructed the students on how to solve the algebra equations.
instruction,A direction or advice about how to do something.,The teacher provided clear instructions on how to solve the math problem.
instructor,An instructor is an individual who teaches or trains others in a specific subject or skill.,The yoga class is taught by a skilled and experienced instructor named Jessica.
instrument,"An instrument is any physical device or tool used to make musical sounds, take measurements, test, or for scientific experimentation.","The pianist played a beautiful melody on her grand piano, an elegant instrument known for its rich and resonant sound."
insufficient,"Insufficient refers to an amount, quantity, quality, or resource that is not adequate or enough for a required purpose.",The funds raised were insufficient to cover the cost of the project.
insult,"An insult is an expression that expresses contempt, disrespect, or rude behavior towards someone or something. It is a verbal attack intended to wound the recipient's feelings or reputation.","""Calling someone a 'liar' can be considered an insult."""
insurance,"Insurance is a contract, represented by a policy, in which an individual or entity receives financial protection or reimbursement against losses from an insurance company. The company pools resources from many policyholders to pay for the losses incurred by a single policyholder.","John purchased car insurance to protect himself financially in case of accidents or thefts. When his car was stolen, he filed a claim with his insurance company and received the agreed compensation to replace it."
integrate,"To integrate means to combine or blend different elements into a functioning or unified whole, especially within a system or process. It also refers to the mathematical operation of finding the area under a curve by summing infinitesimally small areas.","The student was able to integrate her research findings seamlessly into the group project, making it more comprehensive and valuable. In calculus, we are learning how to integrate functions to calculate areas. For example, finding the area under the curve y = 3x from x=0 to x=2 would require integrating 3x from 0 to 2."
intellectual,"A person who has a strong capacity for abstract reasoning, or someone highly educated and knowledgeable in academic pursuits.",The intellectual debated the complex topic of quantum physics with great enthusiasm during the university seminar.
intelligence,"The ability to acquire and apply knowledge and skills, particularly the capacity for logical reasoning, learning, understanding, and problem-solving.",Sarah's quick thinking demonstrated her intelligence when she figured out a way to fix the broken machine at work without needing instructions.
intelligent,"Having or showing an ability to learn, reason, understand, adapt to new situations, and think abstractly. It often implies a high level of mental capability or wisdom.",The intelligent student quickly solved the complex mathematical equation on the board.
intend,To have a plan or purpose in one's mind; to have a determined course of action.,"""She intends to study abroad next semester."""
intense,"Intense refers to something that is strong, powerful, or very great in degree. It can also describe a situation or feeling that is extremely vivid or emotional.","The athlete trained intensely for the marathon, running many miles each day."
intensive,"Intensive means thorough, concentrated, or extensive in effort or study. It often implies a great deal of attention or work being put into something.",She took an intensive French language course during her summer vacation to improve her skills quickly.
intent,"Intent refers to a determination or resolution to act in a certain way, with a particular purpose or aim. It's the state of mind or mental purpose with which one acts or plans to act.","John's intent was to study for the exam, but he ended up watching TV instead."
intention,Intention refers to a mental state that represents a commitment to carrying out an action or actions in the future. It is a conscious decision or resolve to act in a certain way.,"John had the intention of visiting his grandmother over the weekend, but he ended up not having enough time due to other commitments."
intentionally,"Intentionally means doing something deliberately, consciously, or purposefully. It implies a conscious decision to act in a certain way.",She intentionally missed the deadline for the project submission to avoid criticism.
interact,"To communicate or exchange information, ideas, or actions with another person or thing. It often involves a two-way process where both parties are influencing each other in some way.","""John interacts with the teacher during class discussions, asking and answering questions."""
interaction,"Interaction refers to a two-way process or communication between two or more entities, which may include people, objects, or systems. It implies a reciprocal influence as a result of this exchange.","During the conference, there was an interactive session where participants asked questions and shared their opinions with the speaker."
interactive,Interactive refers to something that requires active participation or interaction from users. It's a two-way communication where the system responds based on user input.,"The educational app is interactive, allowing students to explore concepts and receive immediate feedback when they answer questions correctly or incorrectly."
interest,"Interest refers to a feeling of curiosity or concern about something, or a financial return on an investment.","John has a strong interest in ancient history and spends hours researching it. In finance, the interest rate for a savings account is 3%."
interested,Showing curiosity or concern about something; eager to learn more.,"John is interested in learning about space exploration, so he reads books and watches documentaries on the topic."
interesting,"Something that is fascinating, captivating, or provoking curiosity.",The archaeological findings about the lost city were incredibly interesting.
interfere,"To intrude, disrupt, or interrupt in an unwelcome manner, typically by causing problems or complications.",The loud music from the neighbor's party was interfering with my studying.
interior,"Interior refers to the space within the walls or boundaries of a building, specifically the rooms and other enclosed spaces. It often includes the decorations, furniture, and layout of these spaces.","""She spent hours redecorating the interior of her new apartment, choosing colors and patterns that reflected her personality."""
intermediate,"Something or someone that is in the middle of a range, level, or stage; neither beginning nor advanced.",The intermediate French class is for students who have some understanding of the language but are not yet fluent.
intermission,"An intermission is a temporary break in an event or performance, such as a play, concert, or movie.","During the intermission of the play, we decided to grab some snacks from the concession stand."
internal,"Relating to or situated within the body of an organism or object. In the context of organizations, it refers to matters concerning the organization itself and its employees.",Our team is focused on internal communication improvements to foster better collaboration and productivity.
international,Relating to more than one nation or region; involving participants of different nationalities.,The United Nations is an international organization that aims to maintain peace and security around the world.
internationally,Relating to more than one nation or having a global scope.,The company's products are sold internationally in over 100 countries.
Internet/internet,"The Internet is a global network of interconnected computers that allows for the sharing and exchange of information, resources, and services through electronic communication.","John used the internet to research his thesis topic, finding articles and resources from libraries all over the world."
interpersonal,Relating to interactions or relationships between people.,The interpersonal skills of the team leader significantly impacted the productivity and cohesion within the group.
interpret,"To explain or understand the meaning of something, especially in a way that is based on individual ideas or understanding. It can also mean to perform, represent, or render in another form, often through translation or analogy.",The doctor interpreted the patient's symptoms as signs of a viral infection.
interpretation,"Interpretation is the act of explaining or understanding something in a different, but comprehensible way. It's about translating or making sense of something complex or abstract.","The painting was open to many interpretations, with some viewers seeing it as a symbol of freedom while others saw it as a representation of despair."
interpreter,An interpreter is a person who translates spoken or signed language between different languages.,The diplomat needed an Arabic interpreter to communicate effectively with the delegation from Saudi Arabia.
interrupt,"To break into something else that is happening, typically to stop someone from continuing a speech or task. It can also refer to an event or action that disturbs the normal flow of something.","""During her presentation, John's phone rang, interrupting her and causing everyone to laugh."""
interruption,"An interruption is an event or action that breaks up a continuous process, flow, or conversation, often temporarily halting it.","During his presentation, John's phone rang, causing an interruption in the meeting."
intersection,"The point where two or more lines, roads, or other entities meet or cross each other.","At the intersection of Main Street and Oak Avenue, there is a traffic light to regulate the flow of traffic."
interval,"An interval is a range of numbers between two points on a number line, including both endpoints. It can be finite or infinite in length.","The difference between 5 and 8 is a three-unit interval (3). For instance, if we have the set of numbers {5, 6, 7}, it forms an interval from 5 to 7 on the number line."
interview,"An interview is a conversation between two or more people, typically one person being asked questions by another (or others) as part of an evaluation, selection process, or to gather information.","The job candidate had a successful interview with the hiring manager, answering all of her questions with confidence and enthusiasm for the position."
interviewee,"An interviewee is a person who is being interviewed, typically in a job application process or during research for an article or report.",The candidate was a calm and collected interviewee during her job interview. The journalist asked several questions to the interviewees about their opinions on the recent political developments.
interviewer,"An interviewer is a person who conducts interviews, typically to gather information or assess qualifications for a job, admission into an educational institution, or other purposes.","The human resources manager served as the interviewer during the job application process, asking questions about the candidate's skills and experience."
intimate,"Intimate refers to something that is private, personal, or close in an emotional or physical sense. It can also describe a close relationship between people.","Despite not having seen each other for years, their friendship remained intimate as they shared secrets and confidences only with one another."
into,"The preposition 'into' is used to show movement or entrance into a place, state, or situation. It can also indicate entering or immersing oneself in a particular activity or condition.",He immersed himself into learning about quantum physics. (Example of becoming deeply engaged in an activity)
intransitive,"In transitive verbs, the subject directly performs an action on the object. On the other hand, intransitive verbs do not have a direct object receiving the action; instead, they describe an action that is performed by the subject and affects the subject or is completed by it.","""She runs."" (In this sentence, ""runs"" is an intransitive verb because the subject (""she"") is performing the action without any direct object receiving it.)"
intravenous,"Intravenous (abbreviated as IV) refers to the method of administering liquids, drugs, nutrients, or blood directly into a vein.",The doctor injected the antibiotics intravenously because the patient was severely dehydrated and unable to swallow medication orally.
introduce,"To bring someone or something into a social or professional circle, or to present a new idea, concept, or thing for consideration.","""I am excited to introduce you to my best friend from college, Alex."""
introduction,"An introduction is a preliminary act or statement that serves to familiarize someone with a subject, person, or place for the first time. It often provides background information and sets the context for what will follow.","In her speech, the president gave a warm introduction of the new ambassador, highlighting his achievements and experiences."
intrude,"To intrude means to enter or act unwelcome, disturbing someone or something else. It implies an infringement of privacy or boundaries.",The guests accidentally intruded into the private meeting room without realizing it was off limits.
intruder,An intruder is an uninvited or unwelcome person who enters a place or space without permission.,"""The security cameras captured images of an intruder attempting to break into the building late at night."""
intrusion,"Intrusion refers to an unwanted or unauthorized entry or action that disrupts a system, space, or privacy. It often implies a violation of norms or boundaries.","The security team detected an intrusion in the company's network, indicating someone had accessed sensitive data without permission."
invade,"To enter or penetrate (a country, region, etc.) with an armed force in order to conquer or overthrow a government.","The army invaded the neighboring country, causing widespread destruction and displacement of civilians."
invariable,Invariable refers to something that does not change or varies consistently. It is a quality of things that remain the same under all circumstances or conditions.,"The number of days in a week is an invariable - it remains seven, no matter what."
invariably,"Invariably means consistently or regularly, without exception or deviation. It indicates a strong tendency or pattern.","He invariably arrives late for meetings, which annoys everyone involved."
invasion,"The act or process of intruding large numbers of people or things into a place where they are not welcome, especially by force; an attack or conquest.","The invasion of Normandy on June 6, 1944, was the largest seaborne invasion in history."
invent,"To create or devise (something) that does not exist, especially something new and original and especially a device or method, often by using one's imagination or skill.",The Wright brothers invented the airplane in 1903.
invention,"An invention is a novel creation, such as a device or method, that solves a problem or improves upon an existing solution. It typically involves a unique idea, process, or technology that has not been previously conceived in the same way.","Alexander Graham Bell invented the telephone, which allowed people to communicate with each other over long distances through electrical signals."
inventor,"An inventor is an individual who creates or devises something that has not existed before, especially a new device, method, or process. They are usually associated with developing practical solutions to problems or finding more efficient ways of doing things.","""Thomas Edison was an inventor who developed the practical electric light bulb and many other devices in the field of electrotechnology."""
inverted commas,"Inverted commas, also known as quotation marks or quote marks, are punctuation marks used in writing to set off direct speech or a quoted phrase. They indicate that the text is not the author's own words but is being cited from another source.","She said, ""I will be there at 3 PM."" (In this sentence, the direct speech ""I will be there at 3 PM"" is enclosed in inverted commas to show that it's not the author's words but a quote.)"
invest,"To invest is to allocate money or capital with the expectation of achieving a profit or material result over time. It often involves buying assets such as stocks, bonds, real estate, or starting a business.","John invested $10,000 in shares of ABC Technologies because he believes their innovative products will lead to increased profits in the future."
investigate,"To explore systematically in order to discover or learn the facts, details, or circumstances surrounding something; especially, to examine with a view to ascertaining guilt or responsibility.",The police are investigating the robbery that occurred last night at the jewelry store.
investigation,"An investigation is a systematic inquiry or examination into a particular matter or situation to gather information, prove facts, and establish the truth.",The police launched an investigation into the bank robbery case to identify the suspects and recover the stolen money.
investigator,"An investigator is a person who conducts systematic inquiry or examination to establish facts, find solutions, or discover new information. This role often involves detective work, scientific research, or professional analysis.","The police assigned a seasoned investigator to the case of the missing jewelry, hoping her expertise would lead them to the thief."
investment,"Investment is the act of committing money or capital in order to earn a financial return. This can be done by purchasing assets such as stocks, bonds, real estate, or starting a business.",John decided to invest in a startup technology company because he believed it had great potential for growth and high returns.
investor,"An investor is an individual or entity that allocates capital with the expectation of earning a profit through owning and managing assets, such as stocks, bonds, real estate, or other investments.","""John Doe is an investor who regularly purchases stocks in promising tech companies."""
invisible,Not able to be seen; not visible. Something that cannot be made visible or perceived by the eye.,"The smoke had dissipated, making the dragon invisible once again."
invitation,"An invitation is a formal or informal request to attend an event, such as a party, wedding, or social gathering. It may be given verbally, written, or electronic.","""John received an email invitation for the annual company holiday party next weekend."""
invite,To formally request someone to come to a place or event.,"""John invited Sarah to his birthday party next weekend."""
invitingly,"Invitingly refers to something that attracts or induces one to approach, enter, or participate. It suggests warmth, friendliness, and an enticing allure.","The scent of freshly baked cookies wafted invitingly from the kitchen, tempting us inside."
invoke,"To invoke is to call upon (a power, law, or spirit) in order to use its influence or authority. It can also mean to bring into action or mention a rule or principle in a legal context.","In the courtroom, the defense attorney invoked the Fifth Amendment to protect their client from self-incrimination."
involuntarily,Involuntarily means to happen or be done without conscious choice or intention.,She involuntarily winced when the doctor touched her injured arm.
involve,To include or require something as a part or essential element; to engage in an activity or process.,"The project will involve designing a new website, conducting user research, and testing the final product."
involved,To be actively engaged or taking part in something.,John was involved in a car accident on his way to work this morning.
involvement,"Involvement refers to the act or state of participating in an activity, event, or situation. It often implies a commitment, interest, or engagement.",John's involvement in the school play grew as he took on various roles behind the scenes and even helped with set design.
iron,"Iron is a ductile, malleable metallic element with atomic number 26. It's the fourth most common element on Earth by mass. Pure iron has a silvery-gray appearance, but it easily oxidizes to a reddish-brown rust in air due to the formation of iron(III) oxide.",John used an iron to press his wrinkled shirt before leaving for work.
ironically,"Ironically means something that occurs in a way that seems unexpectedly or surprisingly contrary to what was expected, typically for humorous effect. It often involves a situation where there is a discrepancy between what is expected and what actually happens.","He got locked out of his car during a thunderstorm, ironically because he had just installed a new lock system."
ironing,Ironing is the process of smoothing wrinkles from fabric using a heated appliance called an iron. It is often used to prepare clothing items that have been washed and dried for wearing.,"After washing her blouse, she spent some time ironing it to remove any wrinkles before wearing it to work."
irrational,"Irrational refers to behavior, beliefs, or actions that are not based on reason or that defy logic or understanding. It can also describe a number that cannot be expressed as a simple fraction and does not have any repeating pattern.","John's fear of spiders was irrational because he knew they were harmless, yet he couldn't stand being near one."
irregular,"Not conforming to a regular pattern or rule. Something irregular deviates from what is customary, typical, expected, or normal.",The teacher was surprised when the student wrote an irregular verb in the exam instead of the correct conjugation.
irresistible,Something irresistible is so appealing or attractive that it is impossible to resist or deny its appeal. It arouses strong desire and temptation.,"The smell of freshly baked chocolate chip cookies was irresistible, and she couldn't help but grab one as she walked by the kitchen."
irresistibly,"Irresistibly means having an attractive or compelling quality that is impossible to resist. It suggests a strong, magnetic pull.",The scent of freshly baked cookies was irresistible and I found myself unable to resist the temptation.
irresponsible,"Irresponsible refers to actions or behavior that lack proper consideration of the consequences and are not mindful of duties, obligations, or expected standards of behavior.","""John was irresponsible when he missed his deadlines at work repeatedly without informing anyone."""
irritate,"To irritate means to annoy, provoke, or disturb someone with persistent or minor annoyances.",The constant noise from the neighbor's dog was really beginning to irritate me.
irritated,"Feeling annoyed, frustrated, or agitated due to some cause.",She was irritated by the constant noise coming from her neighbor's apartment.
irritating,"Causing annoyance, aggravation, or displeasure; troubling persistently.","""The constant beeping of the alarm clock was irritating and made it difficult for him to fall back asleep."""
irritation,"Irritation is an uncomfortable feeling of annoyance, agitation, or pain, often in response to a continuous or repeated minor inconvenience or discomfort.","""John's irritation grew each time his neighbor's dog barked throughout the night."""
is,"The English word ""is"" is a verb used to express identity or equality, indicating that two things are the same. It also functions as an auxiliary verb (helping verb) in various tenses to show action happening at a specific time.","""The cat is on the mat."" (Here, ""is"" shows us that the subject 'cat' is in the location described by 'on the mat', indicating identity or equality between the cat and the thing on the mat.)"
island,A landmass that is surrounded by water.,The Maldives is an island nation located in the Indian Ocean.
islander,An islander is a person who lives on an island or originates from an island.,The islander has unique traditions and customs that are different from those of the mainland.
isle,An isle is a small piece of land that is surrounded by water. It is often used to refer to an island that is part of a larger country or group of islands.,"The Isle of Wight is a popular holiday destination in the UK, located just off the coast of Portsmouth."
isolation,"The state or act of being isolated, secluded, or solitary; separation from others.","During the pandemic, many people practiced self-isolation to avoid spreading the virus."
issue,An issue is a matter or point at dispute or a difficulty requiring a decision or resolution.,The team had a meeting to discuss the issue of the project's budget overrun.
IT,"IT refers to information technology, which encompasses all the technologies and practices used to manage, process, store, and communicate data. This includes hardware, software, networking, and related infrastructure that enable users to interact with and access information and applications.","The company is experiencing issues with its IT system, causing delays in processing customer orders."
it,"""It"" is a pronoun used to refer to any noun whose identity or exact reference in the immediate context has already been established, or when the referent is not specified.","I found my keys on the table, but it's not where I left them. (In this sentence, ""it"" refers to the location of the keys.)"
italicize/italicise,"Italicizing or italicising is the process of displaying text in an italic font, which typically involves slanting the letters and narrowing them compared to the standard, upright Roman font. This formatting is used for emphasis, titles, foreign words or phrases, and other special purposes in writing.","In a research paper, the title of the article is usually italicized: ""The Impact of Climate Change on Polar Bear Populations."""
itch,A strong desire to scratch a part of one's body due to an uncomfortable sensation.,"""I have such an itch on my arm, I really need to scratch it."""
item,"An item is an individual object or concept that has been named and can be considered separately from other objects or concepts. It can be tangible (like a book, chair, or car) or intangible (like an idea, service, or piece of music).","""I need to buy some groceries: apples, milk, and bread are items on my list."""
its,"A pronoun that refers to a thing previously mentioned or easily understood from the context and possesses it. It does not have an apostrophe in English (unlike contractions such as it's, which means ""it is"" or ""it has"").","The cat walked slowly across the room, and its tail twitched nervously the whole time."
itself,Refers to the subject of the sentence in a reflexive or reiterative manner. It emphasizes that an action is performed by the subject on itself.,"The mirror shows my reflection, but I don't like it myself. Here, ""it"" refers to the reflection in the mirror, and ""itself"" indicates that the subject (reflection) is being acted upon by itself (being disliked)."
ivory,"Ivory is a hard, white material obtained from the tusks of elephants and walruses. It's prized for its smooth texture and intricate carving.","The antique chess pieces were made of ivory, their polished surfaces glimmering under the soft light."
jacket,"A jacket is a type of garment with sleeves, typically worn to cover the upper part of the body and provide warmth or fashion. It often fastens at the front with buttons, zippers, or clasps.",She wore a leather jacket over her dress for the concert to protect herself from the cold night air.
jade,"Jade is a term used for a group of precious minerals that are primarily made up of either nephrite or jadeite. It is known for its durability, hardness and attractive green color, but it can also be found in white, black, pink, and various other colors.",She admired the intricate carving on the ancient jade statuette that her grandmother had brought back from China.
jail/gaol,"A jail or gaol is a place where people are kept in custody, typically those who have been arrested and are awaiting trial, or those serving a sentence for a crime.",The police took the suspect to the local jail while they investigated further.
jam,"Jam is a sweet spread made from fruits that have been cooked down with sugar until they reach a thick, spreadable consistency.",I love to put strawberry jam on my toast in the morning for breakfast.
January,"January is the first month of the year in the Gregorian calendar, lasting 31 days.","""January is traditionally a cold month in many northern countries."""
jar,"A jar is a wide-mouthed container with a lid, typically made of glass or ceramic, used for storing food, drinks, or small items.",She stored the pickles in a large glass jar in the refrigerator.
jaw,"Jaw refers to the bony structure that comprises the mandible (lower jaw) and maxilla (upper jaw), supporting the mouth and teeth. It's also used figuratively to describe a firm or stubborn resistance.","I clenched my jaws tightly, trying to withstand the cold wind blowing across the desert."
jazz,"Jazz is a genre of music characterized by swing and complex improvisation, originating in African American communities in the United States during the late 19th and early 20th centuries. It draws on various musical traditions including blues, ragtime, and European classical music.","John plays a smooth jazz saxophone tune, weaving intricate improvisations around the melody, much to the delight of the audience at the local jazz club."
jealous,Feeling envious and suspicious of someone who one perceives as having a greater share of something desirable.,"""John felt jealous when he saw that his colleague received a promotion instead of him."""
jealously,"Jealousy is an intense feeling of suspicion, distrust, or envious desire towards someone who one perceives as having a greater advantage, especially in matters of affection or possessions.",John felt jealous when he saw his neighbor's new car and began comparing it to his own old model.
jeans,"Jeans are a type of sturdy, hard-wearing trousers made from denim or a denim-like fabric. They are often characterized by their strong threads running diagonally and are commonly used for casual wear.",She wore a pair of blue jeans with a white t-shirt and sneakers for the weekend barbecue.
jelly,"Jelly is a semi-solid food typically made from fruit or vegetables, sweetened and thickened with pectin, gelatin, or cornstarch.",I love to spread strawberry jelly on my toast for breakfast.
jeopardize/jeopardise,"To put (someone or something) in a situation where they could lose or suffer harm, risk, or loss.",His reckless driving jeopardized the lives of everyone on the road.
jet,"A jet is a high-speed aircraft or a stream of fast-moving gas, particularly one expelled from the back of an aircraft engine.",The commercial plane took off with a powerful jet of air from its engines.
jewel,"A jewel is a precious or semi-precious stone, often cut and polished, used to make decorative items such as jewelry. Jewels can also refer to these decorative items themselves.",She wore a beautiful necklace with a large emerald jewel in the center.
jeweler/jeweller,"A jeweler or jeweller is a professional who designs, creates, repairs, and sells jewelry and related items such as watches. They work with precious metals, gemstones, pearls, and other materials.","The local jeweler has just received a beautiful emerald necklace from a new shipment, making it the perfect accessory for this season's fashion trends."
jewelry/jewellery,"Jewelry or Jewellery refers to decorative items worn for personal adornment, typically made from precious metals or gemstones.",She wore a beautiful necklace with a large pearl pendant as her favorite jewelry piece at the gala event.
job,"A job is a paid position of regular employment, usually full-time, in which someone works in exchange for wages or a salary.",She has been working at her job as an accountant for the past five years.
jog,"Jog is a form of continuous fast walking, typically at a steady pace, used as a form of physical exercise. It's often done outdoors on a variety of surfaces such as roads, paths, or tracks.","Every morning before work, John goes for a 5-kilometer jog around the park to keep himself fit and healthy."
jogging,"Jogging is a form of continuous running, typically at a moderate speed, performed as an activity for recreation or physical fitness.","Every morning, John goes jogging in the park to keep himself fit and healthy."
join,"To combine or link two or more things together, especially when they are separate. It often implies making them part of the same group or entity.",John decided to join the basketball team at school because he loves playing sports.
joint,"A joint is a point where two parts of an object meet and can often be moved or flexed. It's also used to refer to a place where two bones connect in the human body, or to a part of a cannabis plant that contains concentrated resin.",The hinges on this door are well-oiled joints that allow smooth movement.
joke,"A joke is a saying, story, or situation that someone shares to provoke laughter or amusement by being funny, absurd, or ironic.","""Why don't scientists trust atoms? Because they make up everything!"""
journal,"A journal is a publication, typically containing articles on a specific subject or topics of interest, often academic or professional in nature. It can also refer to a personal record kept by an individual for their own purposes.","She has been keeping a journal of her travels for the past ten years, recording every new experience and memory. In the field of psychology, researchers publish articles in journals like The Journal of Personality and Social Psychology."
journalism,"Journalism is the collection, verification, and publishing of news and information through various media, such as print, digital, or broadcast. It involves researching, reporting, covering events, and analyzing important issues to inform the public.",The journalist was interviewing witnesses at the scene of the accident to gather accurate details for her news report.
journalist,"A journalist is a person who collects, writes, or distributes news or other current information to the public. They often work for newspapers, magazines, television, and online news outlets.",The investigative journalist uncovered evidence that led to the resignation of the corrupt city official.
journey,"A journey is a travel from one place to another, typically involving a passage by car, plane, foot, or other means of transportation. It can also refer metaphorically to any significant process, development, or life experience.","""The family embarked on a three-week journey across Europe, visiting iconic cities like Rome, Paris, and Amsterdam."""
joy,A feeling of great pleasure and happiness; intense satisfaction or delight.,"""The sight of her child's smiling face brought immense joy to the mother."""
judge,"To form an opinion or conclusion about someone or something, especially based on evidence, reasoning, or personal experience. It can also refer to a person who is qualified to make decisions or give opinions about legal matters.",She judged the wine by its color and aroma before taking a sip. The judge ruled in favor of the defendant after considering all evidence presented.
judgment/judgement,"The act of forming an opinion or evaluation about someone or something based on evidence, reasoning, or experience.","""The judge made a swift judgment after reviewing the case files for several hours."""
judo,"Judo is a martial art that originated in Japan, primarily focused on grappling and ground fighting. It involves using an opponent's force against them through techniques such as throws, joint locks, and pins.",John took a judo class to learn self-defense techniques and gained confidence in his ability to handle difficult situations.
jug,"A jug is a vessel typically made of glass, ceramic, or metal, with one large opening and a handle, used for storing or carrying liquids.",The florist filled the jug with fresh water to arrange the flowers at the wedding ceremony.
juice,"Juice is a drink made from the extract or expressed liquid obtained by grinding, crushing, or pressing fruits, vegetables, or their pulp and often containing additional ingredients for flavoring.",I like to drink orange juice with my breakfast every morning.
juicy,"Juicy refers to something that is wet, moist, or containing a large amount of liquid. It can also be used to describe something full of details, interesting facts, or secrets.","The gossip about the new manager was juicy, revealing a lot of inside information. ( figurative context)"
July,"July is one of the twelve months in the Gregorian calendar, it is the seventh month and spans from June 30 to July 31 (unless it's a leap year).","""It's already the second week of July and the weather has been quite hot this summer."""
jump,To move suddenly through the air by leaping off the ground or another surface with both feet leaving the ground.,The kangaroo jumped across the dry riverbed with surprising agility.
jumper,"A jumper is a piece of clothing that covers the upper part of the body and has sleeves. It typically fastens with a zipper, buttons, or a pullover neckline. In casual use, it may refer to a sweater or a cardigan.","""I'm going to wear my red jumper today as it's quite chilly outside."""
June,"June is one of the twelve months in the Gregorian calendar, representing the sixth month. It falls between May and July.","The flowers are blooming, it must be June."
jungle,"A dense, tropical forest covered with tall trees and undergrowth.","The explorers navigated deep into the jungle, encountering exotic wildlife along the way."
junior,"Junior refers to someone who is less experienced or ranks lower in a particular field, organization, or level of education. It often indicates being in the early stages of a career, education, or position.","""The junior developer has been working at the company for only six months but shows great potential."""
junk,"Waste material or rubbish, often of no useful value.",I need to clean my room because it's filled with junk like old magazines and broken toys.
junk food,"Junk food refers to foods that are high in calories, sugars, saturated and trans fats, salt, or artificial substances, but low in vitamins, minerals, fiber, and other nutrients. They are often convenient, inexpensive, and marketed broadly.","She decided to avoid junk food like chips and cookies during her diet, opting instead for fresh fruits and vegetables."
juror,"A juror is an individual who serves on a trial jury, responsible for evaluating evidence and making decisions about the facts in a legal case.","""The judge instructed the jurors to carefully consider the evidence presented during the trial before making their final decision."""
jury,"A jury is a group of people chosen to hear evidence in a court case and decide upon the innocence or guilt of the accused, or make decisions on factual disputes.",The judge selected six jurors and two alternates for the trial of the defendant accused of theft.
just,"The adverb ""just"" is used to indicate that something happens immediately or recently, or it can be employed to suggest politeness when asking a question or making a request. It can also mean exactly or simply in certain contexts.",I just finished reading the book. (This means the action of reading the book has concluded very recently.)
